user_id,username,password_hash,role,first_name,last_name
1,karen.lee1,hashed_pwd_1,Admin,Karen,Lee
2,sarah.wilson2,hashed_pwd_2,Admin,Sarah,Wilson
3,thomas.zazai3,hashed_pwd_3,Admin,Thomas,Zazai
4,richard.harris4,hashed_pwd_4,Admin,Richard,Harris
5,mark.afridi5,hashed_pwd_5,Admin,Mark,Afridi
6,charles.wilson6,hashed_pwd_6,Receptionist,Charles,Wilson
7,christopher.anderson7,hashed_pwd_7,Receptionist,Christopher,Anderson
8,nancy.gonzalez8,hashed_pwd_8,Receptionist,Nancy,Gonzalez
9,daniel.afridi9,hashed_pwd_9,Receptionist,Daniel,Afridi
10,sarah.robinson10,hashed_pwd_10,Receptionist,Sarah,Robinson
11,christopher.thompson11,hashed_pwd_11,Receptionist,Christopher,Thompson
12,david.wilson12,hashed_pwd_12,Receptionist,David,Wilson
13,patricia.gonzalez13,hashed_pwd_13,Receptionist,Patricia,Gonzalez
14,christopher.davis14,hashed_pwd_14,Receptionist,Christopher,Davis
15,betty.moore15,hashed_pwd_15,Receptionist,Betty,Moore
16,michael.hernandez16,hashed_pwd_16,Receptionist,Michael,Hernandez
17,thomas.rodriguez17,hashed_pwd_17,Receptionist,Thomas,Rodriguez
18,mark.ramirez18,hashed_pwd_18,Receptionist,Mark,Ramirez
19,mary.smith19,hashed_pwd_19,Receptionist,Mary,Smith
20,margaret.thomas20,hashed_pwd_20,Receptionist,Margaret,Thomas
21,nancy.clark21,hashed_pwd_21,Receptionist,Nancy,Clark
22,patricia.thompson22,hashed_pwd_22,Receptionist,Patricia,Thompson
23,sarah.afridi23,hashed_pwd_23,Receptionist,Sarah,Afridi
24,daniel.ramirez24,hashed_pwd_24,Receptionist,Daniel,Ramirez
25,sarah.brown25,hashed_pwd_25,Receptionist,Sarah,Brown
26,michael.thomas26,hashed_pwd_26,Receptionist,Michael,Thomas
27,christopher.davis27,hashed_pwd_27,Receptionist,Christopher,Davis
28,michael.moore28,hashed_pwd_28,Receptionist,Michael,Moore
29,christopher.perez29,hashed_pwd_29,Receptionist,Christopher,Perez
30,jennifer.miller30,hashed_pwd_30,Receptionist,Jennifer,Miller
31,jennifer.lopez31,hashed_pwd_31,Receptionist,Jennifer,Lopez
32,mark.thomas32,hashed_pwd_32,Receptionist,Mark,Thomas
33,susan.harris33,hashed_pwd_33,Receptionist,Susan,Harris
34,nancy.taylor34,hashed_pwd_34,Receptionist,Nancy,Taylor
35,karen.martinez35,hashed_pwd_35,Receptionist,Karen,Martinez
36,sandra.zazai36,hashed_pwd_36,Receptionist,Sandra,Zazai
37,linda.sanchez37,hashed_pwd_37,Receptionist,Linda,Sanchez
38,john.garcia38,hashed_pwd_38,Receptionist,John,Garcia
39,idrees.harris39,hashed_pwd_39,Receptionist,Idrees,Harris
40,karen.clark40,hashed_pwd_40,Receptionist,Karen,Clark
41,betty.taylor41,hashed_pwd_41,Receptionist,Betty,Taylor
42,patricia.davis42,hashed_pwd_42,Receptionist,Patricia,Davis
43,betty.thompson43,hashed_pwd_43,Receptionist,Betty,Thompson
44,john.moore44,hashed_pwd_44,Receptionist,John,Moore
45,david.thomas45,hashed_pwd_45,Receptionist,David,Thomas
46,patricia.jackson46,hashed_pwd_46,Receptionist,Patricia,Jackson
47,lisa.white47,hashed_pwd_47,Receptionist,Lisa,White
48,nancy.perez48,hashed_pwd_48,Receptionist,Nancy,Perez
49,sandra.white49,hashed_pwd_49,Receptionist,Sandra,White
50,linda.anderson50,hashed_pwd_50,Receptionist,Linda,Anderson
51,sandra.robinson51,hashed_pwd_51,Receptionist,Sandra,Robinson
52,joseph.miller52,hashed_pwd_52,Receptionist,Joseph,Miller
53,margaret.garcia53,hashed_pwd_53,Receptionist,Margaret,Garcia
54,patricia.garcia54,hashed_pwd_54,Receptionist,Patricia,Garcia
55,sandra.thomas55,hashed_pwd_55,Receptionist,Sandra,Thomas
56,susan.gonzalez56,hashed_pwd_56,Receptionist,Susan,Gonzalez
57,farman.ramirez57,hashed_pwd_57,Receptionist,Farman,Ramirez
58,susan.rodriguez58,hashed_pwd_58,Receptionist,Susan,Rodriguez
59,mary.lee59,hashed_pwd_59,Receptionist,Mary,Lee
60,david.robinson60,hashed_pwd_60,Receptionist,David,Robinson
